Token_ID,Symbol,Series,Price_Band,Company_Name,ISIN,High_Price_Rs
20196,BEDMUTHA,EQ,20,BEDMUTHA INDUST LTD,INE844K01012,159.3
757102,BELRISE,EQ,20,BELRISE INDUSTRIES LTD,INE894V01022,94.0
395,BEML,EQ,20,BEML LIMITED,INE258A01016,4255.0
419,BEPL,EQ,20,BHANSALI ENG. POLYMERS LT,INE922A01025,122.45
404,BERGEPAINT,EQ,20,BERGER PAINTS (I) LTD,INE463A01038,564.15
21113,BFINVEST,EQ,20,BF INVESTMENT LIMITED,INE878K01010,510.95
5220,BFSI,EQ,20,MIRAEAMC - MAFSETF,INF769K01HI8,27.59
14567,BFUTILITIE,EQ,20,BF UTILITIES LIMITED,INE243D01012,764.0
6164,BHAGCHEM,EQ,20,BHAGIRADHA CHEM & INDS L,INE414D01027,309.0
13400,BHAGERIA,EQ,20,BHAGERIA INDUSTRIES LTD,INE354C01027,193.03
20776,BHAGYANGR,EQ,20,BHAGYANAGAR INDIA LIMITED,INE458B01036,79.18
19556,BHANDARI,EQ,20,BHANDARI HOSIERY EXP LTD,INE474E01029,6.63
426,BHARATGEAR,EQ,20,BHARAT GEARS LTD.,INE561C01019,87.4
3834,BHARATRAS,EQ,20,BHARAT RASAYAN LTD,INE838B01013,9139.5
16123,BHARATWIRE,EQ,20,BHARAT WIRE ROPES LTD.,INE316L01019,198.0
23489,BHARTIHEXA,EQ,20,BHARTI HEXACOM LIMITED,INE343G01021,1891.9
18431,BIGBLOC,EQ,20,BIGBLOC CONSTRUCTION LTD,INE412U01025,64.76
11966,BIKAJI,EQ,20,BIKAJI FOODS INTERN LTD,INE00E101023,774.95
4136,BIOFILCHEM,EQ,20,BIOFIL CHEM & PHARMA LTD,INE829A01014,49.48
477,BIRLACABLE,EQ,20,BIRLA CABLE LIMITED,INE800A01015,193.6
480,BIRLACORPN,EQ,20,BIRLA CORPORATION LTD,INE340A01012,1392.0
1455,BIRLANU,EQ,20,BIRLANU LIMITED,INE557A01011,2331.0
15067,BLAL,EQ,20,BEML LAND ASSETS LIMITED,INE0N7W01012,207.8
8132,BLBLIMITED,EQ,20,BLB LIMITED,INE791A01024,15.2
19265,BLISSGVS,EQ,20,BLISS GVS PHARMA LTD,INE416D01022,135.05
13290,BLKASHYAP,EQ,20,B.L.KASHYAP & SON LTD,INE350H01032,70.99
17279,BLS,EQ,20,BLS INTL SERVS LTD,INE153T01027,418.35
495,BLUEDART,EQ,20,BLUE DART EXPRESS LTD,INE233B01017,6648.0
25017,BODALCHEM,EQ,20,BODAL CHEMICALS LTD,INE338D01028,75.53
513,BOMDYEING,EQ,20,BOMBAY DYEING & MFG. CO L,INE032A01023,155.62
19401,BOROLTD,EQ,20,BOROSIL LIMITED,INE02PY01013,368.0
24014,BOROSCI,EQ,20,BOROSIL SCIENTIFIC LTD,INE02L001032,145.2
530,BPL,EQ,20,BPL LTD,INE110A01019,83.52
15184,BRIGADE,EQ,20,BRIGADE ENTER. LTD,INE791I01019,1187.9
3001,BSE500IETF,EQ,20,ICICIPRAMC - ICICI500,INF109KC1V59,38.87
809,BSHSL,EQ,20,BOMBAY SUPER HYBRID SEEDS,INE032Z01020,142.0
23804,BSLGOLDETF,EQ,20,ADITYBIRLA SL GOLD ETF-GR,INF209KB18D3,85.55
24781,BSLNIFTY,EQ,20,ADITYBIRLA SL NIF ETF-GR,INF209KB19D1,28.9
5957,BSLSENETFG,EQ,20,BIRLASLAMC - BSLSENETFG,INF209KB10E8,82.3
2716,BUTTERFLY,EQ,20,BTRFLY GANDHI APPL LTD,INE295F01017,773.95
15073,BVCL,EQ,20,BARAK VALLEY CEM. LTD.,INE139I01011,39.82
9362,CAMPUS,EQ,20,CAMPUS ACTIVEWEAR LIMITED,INE278Y01022,299.6
583,CANFINHOME,EQ,20,CAN FIN HOMES LTD,INE477A01020,794.0
20160,CANTABIL,EQ,20,CANTABIL RETAIL LTD,INE068L01024,241.0
21749,CAPACITE,EQ,20,CAPACITE INFRAPROJECT LTD,INE264T01014,337.05
22675,CAPITALSFB,EQ,20,CAPITAL SMALL FIN BANK L,INE646H01017,300.0
3906,CAPLIPOINT,EQ,20,CAPLIN POINT LAB LTD.,INE475E01026,2168.0
595,CARBORUNIV,EQ,20,CARBORUNDUM UNIVERSAL LTD,INE120A01034,1001.15
29113,CARERATING,EQ,20,CARE RATINGS LIMITED,INE752H01013,1857.9
28879,CARRARO,EQ,20,CARRARO INDIA LIMITED,INE0V7W01012,456.45
5407,CARTRADE,EQ,20,CARTRADE TECH LIMITED,INE290S01011,1544.9
1879,CARYSIL,EQ,20,CARYSIL LIMITED,INE482D01024,910.0
30139,CASHIETF,EQ,20,ICICIPRAMC - CASHIETF,INF109K1A021,1013.12
1250,CASTROLIND,EQ,20,CASTROL INDIA LIMITED,INE172A01027,219.0
6385,CCHHL,EQ,20,COUNTRY CLUB HOSP HOL LTD,INE652F01027,17.3
11452,CCL,EQ,20,CCL PRODUCTS (I) LTD,INE421D01022,905.0
15254,CEATLTD,EQ,20,CEAT LIMITED,INE482A01020,3822.7
13162,CELEBRITY,EQ,20,CELEBRITY FASHIONS LTD,INE185H01016,13.56
19795,CELLO,EQ,20,CELLO WORLD LIMITED,INE0LMW01024,629.15
619,CENTENKA,EQ,20,CENTURY ENKA LTD,INE485A01015,466.35
11511,CENTEXT,EQ,20,CENTURY EXTRUSIONS LTD,INE281A01026,21.5
14894,CENTRALBK,EQ,20,CENTRAL BANK OF INDIA,INE483A01010,41.2
2454,CENTRUM,EQ,20,CENTRUM CAPITAL LIMITED,INE660C01027,34.47
13305,CENTURYPLY,EQ,20,CENTURY PLYBOARDS (I) LTD,INE348B01021,785.0
15039,CERA,EQ,20,CERA SANITARYWARE LTD,INE739E01017,6507.0
28764,CEWATER,EQ,20,CONCORD ENVIRO SYSTEMS L,INE037Z01029,599.15
20329,CGCL,EQ,20,CAPRI GLOBAL CAPITAL LTD,INE180C01042,162.39
8546,CHALET,EQ,20,CHALET HOTELS LIMITED,INE427F01016,938.7
270,CHEMCON,EQ,20,CHEMCON SPECIAL CHEM LTD,INE03YM01018,204.0
2799,CHEMFAB,EQ,20,CHEMFAB ALKALIS LIMITED,INE783X01023,798.95
5449,CHEMPLASTS,EQ,20,CHEMPLAST SANMAR LIMITED,INE488A01050,428.7
2049,CHENNPETRO,EQ,20,CHENNAI PETROLEUM CORP LT,INE178A01016,674.0
9879,CHEVIOT,EQ,20,CHEVIOT COMPANY LIMITED,INE974B01016,1106.0
8866,CHOICEIN,EQ,20,CHOICE INTERNATIONAL LTD,INE102B01014,712.75
21740,CHOLAHLDNG,EQ,20,CHOLAMANDALAM FIN HOL LTD,INE149A01033,1890.0
14937,CIEINDIA,EQ,20,CIE AUTOMOTIVE INDIA LTD,INE536H01010,450.8
756015,CIFL,EQ,20,CAPITAL INDIA FINANCE LTD,INE345H01024,37.9
5142,CIGNITITEC,EQ,20,CIGNITI TECHNOLOGIES LTD,INE675C01017,1647.9
8024,CINEVISTA,EQ,20,CINEVISTA LIMITED,INE039B01026,14.87
5049,CLEAN,EQ,20,CLEAN SCIENCE & TECH LTD,INE227W01023,1562.9
20223,CLEDUCATE,EQ,20,CL EDUCATE LIMITED,INE201M01029,90.0
3482,CLSEL,EQ,20,CHAMAN LAL SETIA EXP LTD,INE419D01026,347.05
7603,CMSINFO,EQ,20,CMS INFO SYSTEMS LIMITED,INE925R01014,496.0
6006,COASTCORP,EQ,20,COASTAL CORPORATION LTD,INE377E01024,39.39
21508,COCHINSHIP,EQ,20,COCHIN SHIPYARD LIMITED,INE704P01025,1949.9
17945,COHANCE,EQ,20,COHANCE LIFESCIENCES LTD,INE03QK01018,1069.6
13198,COMMOIETF,EQ,20,ICICIPRAMC - ICICICOMMO,INF109KC19O8,86.99
31138,COMPUSOFT,EQ,20,COMPUCOM SOFTWARE LTD,INE453B01029,23.12
21578,COMSYN,EQ,20,COMMERCIAL SYN BAGS LTD,INE073V01015,119.0
18060,CONCORDBIO,EQ,20,CONCORD BIOTECH LIMITED,INE338H01029,1834.9
10238,CONFIPET,EQ,20,CONFIDENCE PETRO IND LTD.,INE552D01024,61.74
